observedProperty,resultUom,_Year,resultMeanValue,water_name,Country_name,PopulationDensity,TouristMean_1990_2020,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent
CAS_14798-03-9,mg{NH4}/L,2008,0.004508,UKSC020652,United Kingdom,274.7089819,25867961,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
CAS_14798-03-9,mg{NH4}/L,2008,0.0075992,UKSC020446,United Kingdom,274.7089819,25867961,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
CAS_14798-03-9,mg{NH4}/L,2008,0.00322,UKSC023371,United Kingdom,274.7089819,25867961,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
CAS_14798-03-9,mg{NH4}/L,2008,0.0099176,UKSC020165,United Kingdom,274.7089819,25867961,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
CAS_14798-03-9,mg{NH4}/L,2008,0.0042504,UKSC020116,United Kingdom,274.7089819,25867961,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
CAS_14798-03-9,mg{NH4}/L,2008,0.014168,UKSC023326,United Kingdom,274.7089819,25867961,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
CAS_14798-03-9,mg{NH4}/L,2008,0.0094024,UKSC023345,United Kingdom,274.7089819,25867961,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
CAS_14798-03-9,mg{NH4}/L,2008,0.010304,UKSC023347,United Kingdom,274.7089819,25867961,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
CAS_14798-03-9,mg{NH4}/L,2008,0.081144,UKSC023233,United Kingdom,274.7089819,25867961,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
CAS_14798-03-9,mg{NH4}/L,2008,0.0104328,UKSC020690,United Kingdom,274.7089819,25867961,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
CAS_14798-03-9,mg{NH4}/L,2008,0.0039928,UKSC020433,United Kingdom,274.7089819,25867961,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
CAS_14798-03-9,mg{NH4}/L,2008,0.0194488,UKSC005204,United Kingdom,274.7089819,25867961,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
CAS_14797-55-8,mg{NO3}/L,2009,29.28960751,FRHR134,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-08-7,{massRatio},2009,1648.12,FRHR134,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3152-01-0,[pH],2009,7.68608,FRHR134,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3133-01-5,mg{O2}/L,2009,1.38333,FRHR130A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_31615-01-7,mg{N}/L,2009,3.96916,FRHR130A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-55-8,mg{NO3}/L,2009,34.37113946,FRHR135,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-08-7,{massRatio},2009,2092.71,FRHR135,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3152-01-0,[pH],2009,7.8184,FRHR135,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3133-01-5,mg{O2}/L,2009,1.45,FRHR130B,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14798-03-9,mg{NH4}/L,2009,0.106438903,FRHR130B,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14798-03-9,mg{NH4}/L,2008,0.0356776,UKSC005207,United Kingdom,274.7089819,25867961,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
CAS_14798-03-9,mg{NH4}/L,2008,0.025116,UKSC005311,United Kingdom,274.7089819,25867961,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
